20 de noviembre 2020,14,9,0 mm,Parcialmente nublado,19 Km/h,A Coruña
20 de noviembre 2019,10,8,"13,3 mm",Lluvia moderada,21 Km/h,A Coruña
21 de noviembre 2023,12,11,"1,8 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
21 de noviembre 2022,15,10,"7,5 mm",Ligeras precipitaciones,38 Km/h,A Coruña
21 de noviembre 2021,14,9,0 mm,Cielo cubierto,17 Km/h,A Coruña
21 de noviembre 2020,16,10,0 mm,Parcialmente nublado,13 Km/h,A Coruña
21 de noviembre 2019,12,9,"9,7 mm",Ligeras precipitaciones,21 Km/h,A Coruña
22 de noviembre 2023,13,11,"0,8 mm",Lluvia moderada a intervalos,27 Km/h,A Coruña
22 de noviembre 2022,14,9,"4,9 mm",Ligeras precipitaciones,41 Km/h,A Coruña
22 de noviembre 2021,12,10,"0,1 mm",Lluvia moderada a intervalos,36 Km/h,A Coruña
22 de noviembre 2020,17,11,0 mm,Parcialmente nublado,8 Km/h,A Coruña
22 de noviembre 2019,12,10,"54,7 mm",Lluvias con tormenta fuertes o moderadas en la región,43 Km/h,A Coruña
23 de noviembre 2023,15,10,0 mm,Despejado,25 Km/h,A Coruña
23 de noviembre 2022,15,11,"2,2 mm",Ligeras precipitaciones,35 Km/h,A Coruña
23 de noviembre 2021,11,10,"0,8 mm",Ligeras precipitaciones,41 Km/h,A Coruña
23 de noviembre 2020,15,10,0 mm,Parcialmente nublado,7 Km/h,A Coruña
23 de noviembre 2019,12,10,8 mm,Lluvias fuertes o moderadas,32 Km/h,A Coruña
24 de noviembre 2023,14,8,0 mm,Despejado,20 Km/h,A Coruña
24 de noviembre 2022,14,11,"4,5 mm",Ligeras precipitaciones,28 Km/h,A Coruña
24 de noviembre 2021,12,10,"0,9 mm",Ligeras precipitaciones,31 Km/h,A Coruña
24 de noviembre 2020,15,11,"1,5 mm",Nublado,22 Km/h,A Coruña
24 de noviembre 2019,15,10,"4,9 mm",Periodos de lluvia moderada,29 Km/h,A Coruña
25 de noviembre 2023,14,8,0 mm,Parcialmente nublado,14 Km/h,A Coruña
25 de noviembre 2022,13,10,1 mm,Lluvia moderada a intervalos,17 Km/h,A Coruña
25 de noviembre 2021,11,9,"5,1 mm",Ligeras precipitaciones,37 Km/h,A Coruña
25 de noviembre 2020,11,2,"20,5 mm",Lluvias fuertes o moderadas,25 Km/h,A Coruña
25 de noviembre 2019,14,9,"2,4 mm",Ligeras precipitaciones,24 Km/h,A Coruña
26 de noviembre 2023,13,9,0 mm,Parcialmente nublado,9 Km/h,A Coruña
26 de noviembre 2022,16,9,0 mm,Parcialmente nublado,22 Km/h,A Coruña
26 de noviembre 2021,11,8,"1,4 mm",Ligeras precipitaciones,32 Km/h,A Coruña
26 de noviembre 2020,14,9,"1,7 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
26 de noviembre 2019,15,12,"18,5 mm",Periodos de fuertes lluvias,37 Km/h,A Coruña
27 de noviembre 2023,13,12,"4,8 mm",Ligeras precipitaciones,15 Km/h,A Coruña
27 de noviembre 2022,14,11,"5,6 mm",Ligeras precipitaciones,27 Km/h,A Coruña
27 de noviembre 2021,9,8,"15,1 mm",Lluvias fuertes o moderadas,38 Km/h,A Coruña
27 de noviembre 2020,16,11,0 mm,Parcialmente nublado,6 Km/h,A Coruña
27 de noviembre 2019,13,12,"9,9 mm",Ligeras precipitaciones,31 Km/h,A Coruña
28 de noviembre 2023,14,12,"10,1 mm",Lluvia moderada,12 Km/h,A Coruña
28 de noviembre 2022,13,10,"1,9 mm",Ligeras precipitaciones,22 Km/h,A Coruña
28 de noviembre 2021,11,9,"15,5 mm",Lluvias fuertes o moderadas,33 Km/h,A Coruña
28 de noviembre 2020,15,10,0 mm,Parcialmente nublado,13 Km/h,A Coruña
28 de noviembre 2019,14,12,"15,1 mm",Lluvia moderada,22 Km/h,A Coruña
29 de noviembre 2023,15,12,"8,5 mm",Ligeras precipitaciones,32 Km/h,A Coruña
29 de noviembre 2022,12,9,0 mm,Cielo cubierto,10 Km/h,A Coruña
29 de noviembre 2021,12,11,"1,4 mm",Ligeras precipitaciones,23 Km/h,A Coruña
29 de noviembre 2020,15,12,"0,3 mm",Lluvia moderada a intervalos,9 Km/h,A Coruña
29 de noviembre 2019,14,11,"0,3 mm",Parcialmente nublado,25 Km/h,A Coruña
30 de noviembre 2023,12,9,"4,0 mm",Ligeras precipitaciones,24 Km/h,A Coruña
30 de noviembre 2022,10,9,"6,8 mm",Lluvia moderada,25 Km/h,A Coruña
30 de noviembre 2021,13,9,0 mm,Nublado,7 Km/h,A Coruña
30 de noviembre 2020,15,11,0 mm,Cielo cubierto,17 Km/h,A Coruña
30 de noviembre 2019,13,11,"12,2 mm",Lluvias fuertes o moderadas,28 Km/h,A Coruña
1 de diciembre 2023,11,8,"9,6 mm",Ligeras precipitaciones,24 Km/h,A Coruña
1 de diciembre 2022,16,9,0 mm,Despejado,23 Km/h,A Coruña
1 de diciembre 2021,12,11,"2,2 mm",Ligeras precipitaciones,26 Km/h,A Coruña
1 de diciembre 2020,14,9,0 mm,Parcialmente nublado,18 Km/h,A Coruña
1 de diciembre 2019,12,10,"11,1 mm",Ligeras precipitaciones,33 Km/h,A Coruña
2 de diciembre 2023,10,7,"3,4 mm",Ligeras precipitaciones,11 Km/h,A Coruña
2 de diciembre 2022,15,6,0 mm,Despejado,23 Km/h,A Coruña
2 de diciembre 2021,11,10,"3,1 mm",Ligeras precipitaciones,33 Km/h,A Coruña
2 de diciembre 2020,12,9,"0,1 mm",Cielo cubierto,22 Km/h,A Coruña
2 de diciembre 2019,10,9,"0,3 mm",Nublado,32 Km/h,A Coruña
3 de diciembre 2023,13,7,"24,3 mm",Ligeras lluvias,39 Km/h,A Coruña
3 de diciembre 2022,13,6,0 mm,Parcialmente nublado,19 Km/h,A Coruña
3 de diciembre 2021,14,11,"0,7 mm",Lluvia moderada a intervalos,26 Km/h,A Coruña
3 de diciembre 2020,11,6,"7,4 mm",Ligeras precipitaciones,41 Km/h,A Coruña
3 de diciembre 2019,11,6,0 mm,Despejado,24 Km/h,A Coruña
4 de diciembre 2023,12,10,"8,1 mm",Ligeras precipitaciones,32 Km/h,A Coruña
4 de diciembre 2022,12,5,0 mm,Despejado,13 Km/h,A Coruña
4 de diciembre 2021,13,10,"3,4 mm",Ligeras precipitaciones,31 Km/h,A Coruña
4 de diciembre 2020,7,3,"27,6 mm",Lluvias fuertes o moderadas,36 Km/h,A Coruña
4 de diciembre 2019,9,5,0 mm,Parcialmente nublado,16 Km/h,A Coruña
5 de diciembre 2023,11,7,"0,1 mm",Nublado,12 Km/h,A Coruña
5 de diciembre 2022,10,7,"3,6 mm",Ligeras lluvias,8 Km/h,A Coruña
5 de diciembre 2021,12,10,"1,6 mm",Ligeras precipitaciones,27 Km/h,A Coruña
5 de diciembre 2020,9,4,"31,4 mm",Lluvias fuertes o moderadas,37 Km/h,A Coruña
5 de diciembre 2019,12,8,"0,2 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
6 de diciembre 2023,12,6,"0,4 mm",Nublado,31 Km/h,A Coruña
6 de diciembre 2022,14,10,"0,1 mm",Cielo cubierto,7 Km/h,A Coruña
6 de diciembre 2021,14,10,"3,2 mm",Ligeras lluvias,25 Km/h,A Coruña
6 de diciembre 2020,10,4,"10,9 mm",Ligeras precipitaciones,25 Km/h,A Coruña
6 de diciembre 2019,12,8,0 mm,Parcialmente nublado,9 Km/h,A Coruña
7 de diciembre 2023,15,11,"21,2 mm",Lluvias fuertes o moderadas,39 Km/h,A Coruña
7 de diciembre 2022,14,9,0 mm,Despejado,17 Km/h,A Coruña
7 de diciembre 2021,14,8,"12,2 mm",Lluvias fuertes o moderadas,33 Km/h,A Coruña
7 de diciembre 2020,11,6,"15,1 mm",Ligeras precipitaciones,36 Km/h,A Coruña
7 de diciembre 2019,14,10,0 mm,Cielo cubierto,16 Km/h,A Coruña
8 de diciembre 2023,13,10,"7,4 mm",Ligeras precipitaciones,33 Km/h,A Coruña
8 de diciembre 2022,12,11,"4,3 mm",Ligeras lluvias,21 Km/h,A Coruña
8 de diciembre 2021,9,7,"5,4 mm",Ligeras precipitaciones,39 Km/h,A Coruña
8 de diciembre 2020,10,9,"20,8 mm",Lluvias fuertes o moderadas,31 Km/h,A Coruña
8 de diciembre 2019,13,10,"6,5 mm",Periodos de lluvia moderada,16 Km/h,A Coruña
9 de diciembre 2023,16,13,"7,3 mm",Ligeras precipitaciones,36 Km/h,A Coruña
9 de diciembre 2022,11,9,"9,3 mm",Ligeras lluvias,32 Km/h,A Coruña
9 de diciembre 2021,14,10,"5,1 mm",Ligeras precipitaciones,35 Km/h,A Coruña
9 de diciembre 2020,10,4,"12,8 mm",Ligeras precipitaciones,29 Km/h,A Coruña
9 de diciembre 2019,12,10,"0,3 mm",Ligeras precipitaciones,11 Km/h,A Coruña
10 de diciembre 2023,16,15,"1,5 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
10 de diciembre 2022,10,7,"0,6 mm",Ligeras precipitaciones,24 Km/h,A Coruña
10 de diciembre 2021,14,11,"2,6 mm",Ligeras precipitaciones,31 Km/h,A Coruña
10 de diciembre 2020,13,7,"32,6 mm",Lluvia moderada,27 Km/h,A Coruña
10 de diciembre 2019,13,9,"0,7 mm",Cielo cubierto,24 Km/h,A Coruña
11 de diciembre 2023,16,14,"6,6 mm",Lluvia moderada a intervalos,32 Km/h,A Coruña
11 de diciembre 2022,8,6,"0,3 mm",Llovizna,16 Km/h,A Coruña
11 de diciembre 2021,14,11,"0,7 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
11 de diciembre 2020,14,11,27 mm,Ligeras precipitaciones,32 Km/h,A Coruña
11 de diciembre 2019,11,9,"19,2 mm",Ligeras precipitaciones,27 Km/h,A Coruña
12 de diciembre 2023,14,10,"9,6 mm",Ligeras precipitaciones,27 Km/h,A Coruña
12 de diciembre 2022,15,6,"6,3 mm",Ligeras precipitaciones,30 Km/h,A Coruña
12 de diciembre 2021,14,10,"0,1 mm",Despejado,8 Km/h,A Coruña
12 de diciembre 2020,13,8,"4,7 mm",Ligeras precipitaciones,24 Km/h,A Coruña
12 de diciembre 2019,14,11,"34,9 mm",Lluvias fuertes o moderadas,38 Km/h,A Coruña
13 de diciembre 2023,12,10,"9,4 mm",Ligeras precipitaciones,29 Km/h,A Coruña
13 de diciembre 2022,15,14,"1,1 mm",Ligeras precipitaciones,25 Km/h,A Coruña
13 de diciembre 2021,16,9,0 mm,Parcialmente nublado,16 Km/h,A Coruña
13 de diciembre 2020,15,10,"5,7 mm",Ligeras precipitaciones,27 Km/h,A Coruña
13 de diciembre 2019,14,13,"4,6 mm",Ligeras precipitaciones,34 Km/h,A Coruña
14 de diciembre 2023,12,10,"0,9 mm",Ligeras precipitaciones,14 Km/h,A Coruña
14 de diciembre 2022,14,11,"3,8 mm",Ligeras lluvias,34 Km/h,A Coruña
14 de diciembre 2021,16,10,0 mm,Despejado,8 Km/h,A Coruña
14 de diciembre 2020,11,9,"15,5 mm",Ligeras precipitaciones,23 Km/h,A Coruña
14 de diciembre 2019,14,13,"5,7 mm",Ligeras precipitaciones,29 Km/h,A Coruña
15 de diciembre 2023,14,9,"0,0 mm",Despejado,19 Km/h,A Coruña
15 de diciembre 2022,14,11,"0,2 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
15 de diciembre 2021,15,9,0 mm,Parcialmente nublado,10 Km/h,A Coruña
15 de diciembre 2020,11,7,"5,4 mm",Ligeras precipitaciones,34 Km/h,A Coruña
15 de diciembre 2019,11,10,"41,6 mm",Ligeras precipitaciones,26 Km/h,A Coruña
16 de diciembre 2023,13,8,0 mm,Despejado,10 Km/h,A Coruña
16 de diciembre 2022,13,9,0 mm,Parcialmente nublado,11 Km/h,A Coruña
16 de diciembre 2021,16,9,0 mm,Despejado,9 Km/h,A Coruña
16 de diciembre 2020,12,9,"56,2 mm",Fuertes lluvias,29 Km/h,A Coruña
16 de diciembre 2019,9,8,"21,9 mm",Lluvia moderada,14 Km/h,A Coruña
17 de diciembre 2023,13,8,0 mm,Despejado,8 Km/h,A Coruña
17 de diciembre 2022,14,8,0 mm,Nublado,26 Km/h,A Coruña
17 de diciembre 2021,15,9,0 mm,Despejado,7 Km/h,A Coruña
17 de diciembre 2020,12,9,"0,2 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
17 de diciembre 2019,10,8,"0,6 mm",Nublado,17 Km/h,A Coruña
18 de diciembre 2023,12,6,0 mm,Despejado,9 Km/h,A Coruña
18 de diciembre 2022,14,11,"1,4 mm",Llovizna,38 Km/h,A Coruña
18 de diciembre 2021,16,7,0 mm,Despejado,9 Km/h,A Coruña
18 de diciembre 2020,14,10,"13,3 mm",Llovizna,30 Km/h,A Coruña
18 de diciembre 2019,14,10,"33,2 mm",Ligeras precipitaciones,35 Km/h,A Coruña
19 de diciembre 2023,12,6,"0,1 mm",Parcialmente nublado,13 Km/h,A Coruña
19 de diciembre 2022,15,13,"3,2 mm",Ligeras precipitaciones,39 Km/h,A Coruña
19 de diciembre 2021,14,8,0 mm,Parcialmente nublado,12 Km/h,A Coruña
19 de diciembre 2020,12,10,"10,5 mm",Ligeras precipitaciones,21 Km/h,A Coruña
19 de diciembre 2019,12,10,"52,7 mm",Lluvias fuertes o moderadas,35 Km/h,A Coruña
20 de diciembre 2023,12,10,"4,4 mm",Ligeras precipitaciones,30 Km/h,A Coruña
20 de diciembre 2022,15,11,"7,7 mm",Ligeras precipitaciones,31 Km/h,A Coruña
20 de diciembre 2021,15,9,"0,1 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
20 de diciembre 2020,12,8,"2,8 mm",Ligeras precipitaciones,27 Km/h,A Coruña
20 de diciembre 2019,11,9,"25,1 mm",Lluvias fuertes o moderadas,28 Km/h,A Coruña
21 de diciembre 2023,13,10,"1,2 mm",Llovizna,16 Km/h,A Coruña
21 de diciembre 2022,15,12,1 mm,Cielo cubierto,24 Km/h,A Coruña
21 de diciembre 2021,17,11,"0,1 mm",Cielo cubierto,16 Km/h,A Coruña
21 de diciembre 2020,16,12,"5,8 mm",Ligeras precipitaciones,28 Km/h,A Coruña
21 de diciembre 2019,14,11,"9,7 mm",Lluvias fuertes o moderadas,52 Km/h,A Coruña
22 de diciembre 2023,13,9,"0,1 mm",Parcialmente nublado,13 Km/h,A Coruña
22 de diciembre 2022,17,14,"0,3 mm",Cielo cubierto,36 Km/h,A Coruña
22 de diciembre 2021,17,13,0 mm,Parcialmente nublado,24 Km/h,A Coruña
22 de diciembre 2020,15,14,"12,8 mm",Fuertes lluvias,24 Km/h,A Coruña
22 de diciembre 2019,13,11,"9,3 mm",Ligeras precipitaciones,40 Km/h,A Coruña
23 de diciembre 2023,13,8,"0,0 mm",Parcialmente nublado,18 Km/h,A Coruña
23 de diciembre 2022,16,12,"7,5 mm",Lluvias fuertes o moderadas,34 Km/h,A Coruña
23 de diciembre 2021,13,12,"1,9 mm",Ligeras precipitaciones,25 Km/h,A Coruña
23 de diciembre 2020,12,9,9 mm,Ligeras precipitaciones,27 Km/h,A Coruña
23 de diciembre 2019,14,10,"0,7 mm",Ligeras precipitaciones,26 Km/h,A Coruña
24 de diciembre 2023,12,7,0 mm,Despejado,10 Km/h,A Coruña
24 de diciembre 2022,13,12,"26,8 mm",Lluvia moderada,19 Km/h,A Coruña
24 de diciembre 2021,14,11,"5,2 mm",Lluvia moderada,29 Km/h,A Coruña
24 de diciembre 2020,10,8,"6,6 mm",Ligeras precipitaciones,25 Km/h,A Coruña
24 de diciembre 2019,16,13,"1,1 mm",Ligeras precipitaciones,24 Km/h,A Coruña
25 de diciembre 2023,13,8,0 mm,Parcialmente nublado,11 Km/h,A Coruña
25 de diciembre 2022,12,10,"8,1 mm",Ligeras precipitaciones,38 Km/h,A Coruña
25 de diciembre 2021,13,11,2 mm,Llovizna,29 Km/h,A Coruña
25 de diciembre 2020,9,7,"1,6 mm",Lluvia moderada a intervalos,26 Km/h,A Coruña
25 de diciembre 2019,16,12,"0,2 mm",Parcialmente nublado,22 Km/h,A Coruña
26 de diciembre 2023,13,8,"0,1 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
26 de diciembre 2022,13,10,"1,1 mm",Ligeras precipitaciones,11 Km/h,A Coruña
26 de diciembre 2021,15,10,"6,9 mm",Lluvia moderada,30 Km/h,A Coruña
26 de diciembre 2020,9,5,0 mm,Nublado,18 Km/h,A Coruña
26 de diciembre 2019,15,9,"0,5 mm",Despejado,16 Km/h,A Coruña
27 de diciembre 2023,14,11,"0,5 mm",Cielo cubierto,35 Km/h,A Coruña
27 de diciembre 2022,12,8,0 mm,Parcialmente nublado,16 Km/h,A Coruña
27 de diciembre 2021,14,12,"5,2 mm",Ligeras precipitaciones,40 Km/h,A Coruña
27 de diciembre 2020,11,5,"7,5 mm",Ligeras precipitaciones,47 Km/h,A Coruña
27 de diciembre 2019,12,7,0 mm,Despejado,9 Km/h,A Coruña
28 de diciembre 2023,12,9,"15,3 mm",Ligeras precipitaciones,15 Km/h,A Coruña
28 de diciembre 2022,13,8,"0,4 mm",Lluvia moderada a intervalos,32 Km/h,A Coruña
28 de diciembre 2021,16,14,"0,6 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
28 de diciembre 2020,10,7,"23,1 mm",Lluvias fuertes o moderadas,41 Km/h,A Coruña
28 de diciembre 2019,15,9,0 mm,Despejado,11 Km/h,A Coruña
29 de diciembre 2023,13,9,0 mm,Cielo cubierto,11 Km/h,A Coruña
29 de diciembre 2022,13,11,"4,6 mm",Ligeras precipitaciones,24 Km/h,A Coruña
29 de diciembre 2021,16,14,"0,1 mm",Cielo cubierto,29 Km/h,A Coruña
29 de diciembre 2020,8,4,"18,1 mm",Lluvias fuertes o moderadas,30 Km/h,A Coruña
29 de diciembre 2019,18,11,0 mm,Despejado,10 Km/h,A Coruña
30 de diciembre 2023,13,8,"4,6 mm",Lluvia moderada a intervalos,43 Km/h,A Coruña
30 de diciembre 2022,17,13,"4,5 mm",Ligeras lluvias,42 Km/h,A Coruña
30 de diciembre 2021,17,11,0 mm,Despejado,13 Km/h,A Coruña
30 de diciembre 2020,9,6,"5,5 mm",Ligeras precipitaciones,22 Km/h,A Coruña
30 de diciembre 2019,17,10,0 mm,Despejado,8 Km/h,A Coruña
31 de diciembre 2023,11,9,"3,5 mm",Ligeras precipitaciones,36 Km/h,A Coruña
31 de diciembre 2022,17,15,"0,2 mm",Parcialmente nublado,43 Km/h,A Coruña
31 de diciembre 2021,20,12,0 mm,Parcialmente nublado,17 Km/h,A Coruña
31 de diciembre 2020,10,7,"16,1 mm",Lluvias fuertes o moderadas,23 Km/h,A Coruña
31 de diciembre 2019,14,10,"0,3 mm",Nublado,10 Km/h,A Coruña
